輪數,行號,檔案路徑,修改前函式名稱,修改後函式名稱,漏洞數量,漏洞行號,掃描器,信心度,嚴重性,問題描述,掃描狀態,失敗原因
1,1,autogpt_platform/autogpt_libs/autogpt_libs/api_key/keysmith.py,verify_key(),verify_key(),0,,bandit,,,,success,
1,2,autogpt_platform/autogpt_libs/autogpt_libs/api_key/test_keysmith.py,test_verify_legacy_key(),test_verify_legacy_key(),0,,bandit,,,,success,
1,3,autogpt_platform/autogpt_libs/autogpt_libs/auth/dependencies_test.py,_create_token(),store_password_md5(),1,174,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,4,autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils.py,parse_jwt_token(),store_password_md5(),1,66,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,5,autogpt_platform/autogpt_libs/autogpt_libs/auth/jwt_utils_test.py,create_token(),store_password_md5(),1,47,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,6,autogpt_platform/backend/backend/blocks/airtable/_webhook.py,validate_payload(),store_password_md5(),1,47,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,7,autogpt_platform/backend/backend/blocks/exa/_webhook.py,validate_payload(),store_password_md5(),1,60,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,8,autogpt_platform/backend/backend/data/user.py,generate_unsubscribe_link(),store_password_md5(),1,376,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,9,autogpt_platform/backend/backend/integrations/credentials_store.py,_generate_code_challenge(),store_password_md5(),1,441,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,10,autogpt_platform/backend/backend/integrations/webhooks/github.py,validate_payload(),store_password_md5(),1,39,bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,11,autogpt_platform/backend/backend/util/request.py,_request(),store_password_md5(),,,bandit,,,,failed,syntax error while parsing AST from file
1,12,classic/forge/forge/components/image_gen/test_image_gen.py,test_sd_webui_negative_prompt(),test_sd_webui_negative_prompt(),2,"103,108",bandit,HIGH,HIGH,Use of weak MD5 hash for security. Consider usedforsecurity=False | Use of weak MD5 hash for security. Consider usedforsecurity=False,success,
1,13,classic/forge/tests/vcr/__init__.py,_patched_prepare_options(),_patched_prepare_options(),0,,bandit,,,,success,
1,14,classic/forge/tests/vcr_cassettes/format_cassettes.py,convert_cassette_file(),convert_cassette_file(),0,,bandit,,,,success,
